worldline,source_file,turn,event,us_china_tension,shared_infrastructure,scientific_openness,mars_progress,neutral_access,us_power,china_power,us_public_cooperation,china_public_cooperation,third_force_strength,international_trust,PC1,PC2
W06,run_2_20260809_085054_095938.json,8,none,63,65,35,20,29,81,80,43,38,15,49,2.063400121741268,-1.5175882986089322
W06,run_2_20260809_085054_095938.json,9,rare_unknown,60,73,39,25,28,81,79,44,39,24,47,3.1707294310006255,-0.28733648299083864
W06,run_2_20260809_085054_095938.json,10,none,61,83,39,25,25,82,80,45,40,24,49,3.6125994885995723,0.09731961168945596
W07,run_3_20260808_235848_372471.json,0,initial,60,15,30,20,20,80,78,40,35,10,30,-1.5121930846942586,-1.696040614876396
W07,run_3_20260808_235848_372471.json,1,earth_tension,76,20,30,20,14,80,78,35,30,10,24,-3.691621119934472,0.11614695364492307
W07,run_3_20260808_235848_372471.json,2,none,83,24,30,20,11,81,77,34,29,10,23,-4.102490536697328,1.1481024549273644
W07,run_3_20260808_235848_372471.json,3,chinese_base_accident,81,33,30,20,11,82,77,33,28,10,27,-4.051946195274584,1.477097401160948
W07,run_3_20260808_235848_372471.json,4,none,81,42,30,20,11,81,78,33,28,10,30,-3.71765423912352,1.2977292058918417
W07,run_3_20260808_235848_372471.json,5,none,81,51,30,20,11,81,78,33,28,10,33,-3.3636868402102156,1.4272595648369708
W07,run_3_20260808_235848_372471.json,6,mars_breakthrough,88,55,30,30,8,81,78,33,28,10,32,-3.53746830066027,3.1080749232677025
W07,run_3_20260808_235848_372471.json,7,none,87,62,30,30,10,82,78,33,28,10,35,-3.2411837257611604,3.1773129520147734
W07,run_3_20260808_235848_372471.json,8,none,94,66,30,30,7,82,78,33,28,10,34,-3.3439656384501486,3.793439696777561
W08,run_3_20260809_002444_903401.json,0,initial,60,15,30,20,20,80,78,40,35,10,30,-1.5121930846942586,-1.696040614876396
W08,run_3_20260809_002444_903401.json,1,none,68,20,30,20,14,80,78,40,35,10,28,-1.7148728571712235,-0.769552237767549
W08,run_3_20260809_002444_903401.json,2,none,67,27,30,20,16,80,77,40,35,10,31,-1.2786258539096198,-0.7520085147150047
W08,run_3_20260809_002444_903401.json,3,none,69,33,30,20,19,80,77,40,35,14,32,-0.8916317451086603,-0.6526052157026321
W08,run_3_20260809_002444_903401.json,4,none,69,41,30,20,18,80,76,41,36,14,34,-0.2275196547989228,-0.4316300626094483
W08,run_3_20260809_002444_903401.json,5,none,76,45,30,20,15,79,76,41,36,14,33,-0.2701580746877858,0.004200252198959803
W08,run_3_20260809_002444_903401.json,6,india_transport_success,78,51,30,20,22,80,77,41,36,23,34,0.2747264269620621,0.04092432582924134
W08,run_3_20260809_002444_903401.json,7,none,71,64,30,20,24,80,76,41,36,23,40,1.0678248820379834,-0.11776670458981549
W08,run_3_20260809_002444_903401.json,8,none,71,73,30,20,24,80,76,41,36,23,43,1.4217922809512888,0.011763654355312443
W08,run_3_20260809_002444_903401.json,9,none,79,78,30,20,18,80,77,41,36,23,41,1.1392935729119564,0.8096499072043066
W08,run_3_20260809_002444_903401.json,10,none,79,87,30,20,18,80,77,41,36,23,44,1.4932609718252616,0.9391802661494347
W09,run_4_20260809_002938_589988.json,0,initial,60,15,30,20,20,80,78,40,35,10,30,-1.5121930846942586,-1.696040614876396
W09,run_4_20260809_002938_589988.json,1,none,52,26,30,20,24,80,79,40,35,10,36,-0.8762718319571446,-2.3525246539675972
W09,run_4_20260809_002938_589988.json,2,none,60,31,30,20,18,79,79,40,35,10,34,-1.0188081116339833,-1.6063327068131301
W09,run_4_20260809_002938_589988.json,3,none,66,34,30,20,18,79,80,40,35,10,34,-1.1015111000973636,-1.4291697186562549
W09,run_4_20260809_002938_589988.json,4,none,74,39,30,20,12,79,81,39,34,10,32,-1.7117727549728061,-0.5243532635018414
W09,run_4_20260809_002938_589988.json,5,none,73,46,30,20,14,80,80,39,34,10,35,-1.3356692445113276,-0.32651311049491755
W09,run_4_20260809_002938_589988.json,6,none,74,56,30,20,11,81,80,39,34,10,37,-1.1417431981861237,0.2936753107506499
W09,run_4_20260809_002938_589988.json,7,none,80,59,30,20,11,81,79,39,34,10,37,-1.0648083155247676,0.7280425474272324
W09,run_4_20260809_002938_589988.json,8,mars_breakthrough,87,63,30,30,8,81,78,39,34,10,36,-1.1587708404124544,2.5374600301178174
W09,run_4_20260809_002938_589988.json,9,us_base_accident,79,78,30,30,8,81,78,39,34,10,43,-0.36346860753915655,2.4029935906200013
W09,run_4_20260809_002938_589988.json,10,none,71,89,30,30,12,81,78,39,34,10,49,0.3522715807603256,1.875111675788653
W10,run_5_20260809_003452_930768.json,0,initial,60,15,30,20,20,80,78,40,35,10,30,-1.5121930846942586,-1.696040614876396
W10,run_5_20260809_003452_930768.json,1,none,59,22,30,20,22,80,79,40,35,10,33,-1.2355839525573917,-1.9357011403435593
W10,run_5_20260809_003452_930768.json,2,none,58,29,30,20,24,81,79,40,35,10,36,-0.9392993776582819,-1.8664631115964885
W10,run_5_20260809_003452_930768.json,3,none,58,37,30,20,23,80,78,40,35,10,38,-0.5428067413845291,-1.7188541861522655
W10,run_5_20260809_003452_930768.json,4,none,64,40,30,20,23,81,79,40,35,10,38,-0.685653222648035,-1.36139476804101
W10,run_5_20260809_003452_930768.json,5,none,63,47,30,20,25,82,78,41,36,10,41,0.018213234649552996,-1.2704848173395056
W10,run_5_20260809_003452_930768.json,6,none,70,51,30,20,22,82,77,42,37,10,40,0.3230132043590437,-0.6326861506222832
W10,run_5_20260809_003452_930768.json,7,scientific_discovery,78,56,36,20,16,82,76,42,37,10,40,0.7536782785788007,0.7340284105111197
W10,run_5_20260809_003452_930768.json,8,none,77,63,36,20,18,81,76,42,37,10,43,1.1702498390781613,0.4426735793494306
W10,run_5_20260809_003452_930768.json,9,none,84,67,36,20,15,81,76,42,37,10,42,1.0674679263891729,1.0588003241122184
W10,run_5_20260809_003452_930768.json,10,us_base_accident,76,82,36,20,15,81,76,42,37,10,49,1.8627701592624708,0.9243338846144019
